YEAR,ENROLLMENT_GRADES_K_12_NEIGHBORHOOD,ENROLLMENT_GRADES_K_12_MAGNET,ENROLLMENT_GRADES_K_12,ENROLLMENT_GRADES_K_12_CHARTER
2000,29452,13549,1263,
2001,29028,12963,607,783.0
2002,28428,12192,770,1256.0
2003,27212,12184,970,2280.0
2004,26026,11673,1452,2529.0
2005,24307,11622,767,3350.0
2006,22723,11425,893,4514.0
2007,20406,10689,678,5405.0
2008,17092,10002,480,7719.0
2009,15278,10384,446,9221.0
2010,13947,10690,408,9579.0
2011,12734,10489,353,10308.0
2012,11739,10589,188,11467.0
2013,12766,12243,191,8480.0
2014,12563,12117,189,9249.0
2015,11816,11669,669,9749.0
2016,10360,11252,894,10806.0
2017,9809,10838,1107,10934.0
2018,8871,10861,1147,11189.0
2019,8910,10038,823,11390.0
2020,8161,10291,770,11739.0
