YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,TITLE1_FLAG,TITLE1_FLAG_DESC,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ENROLLMENT_ELL_LEP,ENROLLMENT_ELL_LEP_PCT,ENROLLMENT_GRADE_PK_ELL_LEP,ENROLLMENT_GRADE_PK_ELL_LEP_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE
2006,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,69,92,53,57.6,NULL,NULL,*,*,63,91.3,*,*,*,*,*,*,NULL,NULL,5,7.25,*,*,*,*,29,42.03
2007,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,69,87,33,37.9,NULL,NULL,*,*,65,94.2,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,39,56.52
2008,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,46,23,*,*,NULL,NULL,*,*,46,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,7,15.22
2009,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,23,35,12,34.3,NULL,NULL,*,*,22,95.65,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,17,73.91
2010,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,36,52,25,48.1,NULL,NULL,*,*,35,97.22,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2011,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,43,44,29,65.9,*,*,NULL,NULL,41,95.35,*,*,*,*,*,*,*,*,*,*,*,*,*,*,14,32.56
2015,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,NULL, ,12,26,*,*,*,*,NULL,NULL,11,91.67,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,58.33
2016,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,T,TARGETED,26,29,*,*,*,*,NULL,NULL,26,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,19.23
2017,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,NULL, ,22,30,*,*,*,*,NULL,NULL,22,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,27.27
2018,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,NULL, ,11,21,*,*,*,*,NULL,NULL,10,90.91,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,NULL, ,21,23,*,*,*,*,NULL,NULL,21,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,23.81
2020,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,S,SCHOOLWIDE,11,16,*,*,*,*,NULL,NULL,10,90.91,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,115115,ST. LOUIS CITY,1020,MADISON ALT. EDUCATION SCH.,NULL, ,59,145,123,84.8,NULL,NULL,*,*,55,93.22,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,26,44.07
2008,115115,ST. LOUIS CITY,1021,BIG PICTURE ELEM. ALT.,NULL, ,58,70,60,85.7,NULL,NULL,*,*,55,94.83,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,8,13.79
2009,115115,ST. LOUIS CITY,1021,BIG PICTURE ELEM. ALT.,NULL, ,63,62,52,83.9,NULL,NULL,*,*,61,96.83,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,7,11.11
2008,115115,ST. LOUIS CITY,1022,BIG PICTURE MIDDLE ALT.,NULL, ,60,58,43,74.1,NULL,NULL,*,*,58,96.67,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,5,8.33
2009,115115,ST. LOUIS CITY,1022,BIG PICTURE MIDDLE ALT.,NULL, ,64,67,47,70.1,NULL,NULL,*,*,62,96.88,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,11,17.19
2008,115115,ST. LOUIS CITY,1023,BIG PICTURE HIGH SCHOOL ALT.,NULL, ,65,58,43,74.1,NULL,NULL,*,*,60,92.31,*,*,*,*,*,*,NULL,NULL,5,7.69,*,*,*,*,19,29.23
2009,115115,ST. LOUIS CITY,1023,BIG PICTURE HIGH SCHOOL ALT.,NULL, ,85,90,70,77.8,NULL,NULL,*,*,76,89.41,*,*,*,*,*,*,NULL,NULL,9,10.59,*,*,*,*,18,21.18
2010,115115,ST. LOUIS CITY,1023,BIG PICTURE MIDDLE & HIGH @ NW,NULL, ,139,124,112,90.3,NULL,NULL,*,*,133,95.68,*,*,*,*,*,*,NULL,NULL,5,3.6,*,*,*,*,25,17.99
2011,115115,ST. LOUIS CITY,1023,BIG PICTURE MIDDLE & HIGH @ NW,S,SCHOOLWIDE,121,113,96,85,*,*,NULL,NULL,114,94.21,*,*,*,*,*,*,*,*,6,4.96,*,*,*,*,22,18.18
2016,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,NULL, ,0,0,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,NULL, ,0,0,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,NULL, ,0,0,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,NULL, ,0,0,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,NULL, ,0,0,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,722,697,446,64,NULL,NULL,*,*,672,93.07,*,*,*,*,*,*,NULL,NULL,45,6.23,*,*,*,*,80,11.08
2007,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,732,719,526,73.2,NULL,NULL,*,*,679,92.76,6,0.82,*,*,*,*,NULL,NULL,47,6.42,*,*,*,*,76,10.38
2008,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,712,696,379,54.5,NULL,NULL,*,*,660,92.7,5,0.7,*,*,*,*,NULL,NULL,46,6.46,*,*,*,*,65,9.13
2009,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,729,710,456,64.2,NULL,NULL,*,*,683,93.69,6,0.82,*,*,*,*,NULL,NULL,38,5.21,*,*,*,*,72,9.88
2010,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,725,715,583,81.5,NULL,NULL,*,*,680,93.79,6,0.83,*,*,*,*,NULL,NULL,34,4.69,5,0.69,*,*,80,11.03
2011,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,703,690,563,81.6,5,0.71,NULL,NULL,665,94.59,8,1.14,*,*,*,*,*,*,24,3.41,7,1,*,*,87,12.38
2012,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,807,785,639,81.4,5,0.62,NULL,NULL,762,94.42,7,0.87,*,*,*,*,*,*,31,3.84,*,*,*,*,95,11.77
2013,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,788,777,663,85.3,*,*,NULL,NULL,752,95.43,8,1.02,*,*,*,*,*,*,22,2.79,*,*,*,*,85,10.79
2014,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,710,678,572,84.4,*,*,NULL,NULL,679,95.63,6,0.85,*,*,*,*,*,*,23,3.24,*,*,*,*,79,11.13
2015,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,685,674,*,*,*,*,NULL,NULL,655,95.62,*,*,*,*,*,*,*,*,26,3.8,*,*,*,*,68,9.93
2016,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,666,628,*,*,*,*,NULL,NULL,644,96.7,*,*,*,*,*,*,*,*,18,2.7,*,*,*,*,68,10.21
2017,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,593,576,*,*,*,*,NULL,NULL,570,96.12,5,0.84,*,*,*,*,*,*,16,2.7,*,*,*,*,47,7.93
2018,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,602,576,*,*,*,*,NULL,NULL,585,97.18,5,0.83,*,*,*,*,*,*,10,1.66,7,1.16,*,*,45,7.48
2019,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,543,532,*,*,*,*,NULL,NULL,530,97.61,5,0.92,*,*,*,*,*,*,7,1.29,8,1.47,*,*,39,7.18
2020,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,494,492.5,*,*,*,*,NULL,NULL,478,96.76,6,1.21,*,*,*,*,*,*,8,1.62,11,2.23,*,*,27,5.47
2006,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1442,1329.27,772,58.1,NULL,NULL,*,*,889,61.65,24,1.66,5,0.35,*,*,NULL,NULL,442,30.65,*,*,*,*,196,13.59
2007,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1250,1199.98,806,67.2,NULL,NULL,*,*,831,66.48,22,1.76,5,0.4,*,*,NULL,NULL,343,27.44,*,*,*,*,217,17.36
2008,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1213,1142,598,52.4,NULL,NULL,62,5.11,821,67.68,22,1.81,8,0.66,*,*,NULL,NULL,300,24.73,*,*,*,*,219,18.05
2009,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1154,1110,628,56.6,NULL,NULL,56,4.85,797,69.06,34,2.95,6,0.52,*,*,NULL,NULL,261,22.62,*,*,*,*,205,17.76
2010,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1123,1080,824,76.3,NULL,NULL,53,4.72,759,67.59,37,3.29,*,*,*,*,NULL,NULL,271,24.13,101,8.99,*,*,171,15.23
2011,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,S,SCHOOLWIDE,1165,1095,825,75.3,72,6.18,NULL,NULL,726,62.32,47,4.03,*,*,*,*,*,*,317,27.21,125,10.73,*,*,158,13.56
