YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,TITLE1_FLAG,TITLE1_FLAG_DESC,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCTED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ENROLLMENT_ELL_LEP,ENROLLMENT_ELL_LEP_PCT,ENROLLMENT_GRADE_PK_ELL_LEP,ENROLLMENT_GRADE_PK_ELL_LEP_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE
1995,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,105,72,*,*,NULL,NULL,*,*,99,94.29,*,*,*,*,*,*,NULL,NULL,6,5.71,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,94,73,35,47.9,NULL,NULL,*,*,90,95.74,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,88,70,43,61.4,NULL,NULL,*,*,83,94.32,*,*,*,*,*,*,NULL,NULL,5,5.68,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,82,78,35,44.9,NULL,NULL,*,*,77,93.9,*,*,*,*,*,*,NULL,NULL,5,6.1,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,70,39,15,38.5,NULL,NULL,*,*,69,98.57,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,71,69,32,46.4,NULL,NULL,*,*,65,91.55,*,*,*,*,*,*,NULL,NULL,5,7.04,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,86,81,43,53.1,NULL,NULL,*,*,75,87.21,*,*,*,*,*,*,NULL,NULL,11,12.79,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,92,82,35,42.7,NULL,NULL,*,*,89,96.74,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,73,89,43,48.3,NULL,NULL,*,*,72,98.63,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,98,98,45,45.9,NULL,NULL,*,*,93,94.9,*,*,*,*,*,*,NULL,NULL,5,5.1,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,68,87,51,58.6,NULL,NULL,*,*,65,95.59,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,NULL, ,203,426,191,44.8,NULL,NULL,*,*,258,127.09,8,3.94,*,*,*,*,NULL,NULL,171,84.24,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,NULL, ,409,397,158,39.8,NULL,NULL,*,*,238,58.19,*,*,*,*,*,*,NULL,NULL,167,40.83,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,NULL, ,428,255,128,50.2,NULL,NULL,*,*,291,67.99,*,*,*,*,*,*,NULL,NULL,132,30.84,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,NULL, ,430,322,192,59.6,NULL,NULL,*,*,318,73.95,*,*,*,*,*,*,NULL,NULL,108,25.12,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,NULL, ,310,309,288,93.2,NULL,NULL,*,*,245,79.03,*,*,*,*,*,*,NULL,NULL,62,20,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,617,603,440,73,NULL,NULL,*,*,556,90.11,*,*,*,*,*,*,NULL,NULL,57,9.24,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1120,O'FALLON TECHNICAL SCH.,NULL, ,421,445,*,*,NULL,NULL,*,*,322,76.48,*,*,*,*,*,*,NULL,NULL,97,23.04,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1120,O'FALLON TECHNICAL SCH.,NULL, ,108,79,*,*,NULL,NULL,*,*,90,83.33,*,*,*,*,*,*,NULL,NULL,17,15.74,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,978,907,*,*,NULL,NULL,*,*,562,57.46,*,*,*,*,*,*,NULL,NULL,390,39.88,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1278,1085,*,*,NULL,NULL,*,*,730,57.12,9,0.7,*,*,*,*,NULL,NULL,520,40.69,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1238,1085,*,*,NULL,NULL,*,*,687,55.49,12,0.97,*,*,*,*,NULL,NULL,510,41.2,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1263,1130,644,57,NULL,NULL,*,*,721,57.09,9,0.71,*,*,*,*,NULL,NULL,507,40.14,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1268,1183,744,62.9,NULL,NULL,*,*,724,57.1,12,0.95,*,*,*,*,NULL,NULL,488,38.49,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1383,1263,738,58.4,NULL,NULL,*,*,787,56.91,9,0.65,*,*,*,*,NULL,NULL,520,37.6,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1357,1305,737,56.5,NULL,NULL,*,*,773,56.96,11,0.81,*,*,*,*,NULL,NULL,503,37.07,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1380,1293,708,54.8,NULL,NULL,*,*,802,58.12,12,0.87,*,*,*,*,NULL,NULL,494,35.8,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1431,1354,742,54.8,NULL,NULL,*,*,831,58.07,12,0.84,*,*,*,*,NULL,NULL,521,36.41,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1485,1395,886,63.5,NULL,NULL,*,*,849,57.17,20,1.35,*,*,*,*,NULL,NULL,547,36.84,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1486,1395,917,65.7,NULL,NULL,*,*,873,58.75,17,1.14,*,*,*,*,NULL,NULL,527,35.46,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1424,1362,917,67.3,NULL,NULL,*,*,831,58.36,22,1.54,*,*,*,*,NULL,NULL,503,35.32,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1340,1267,700,55.2,NULL,NULL,*,*,794,59.25,17,1.27,*,*,*,*,NULL,NULL,447,33.36,*,*,*,*,*,*
